"course_id","department","institution","semester","section","short_code","course_code","course_name","course_group","l","t","p","hours_per_week","credits","faculty_needed","is_theory_course","remarks"
"C001","CSE","GMIT","1","A","C","1BEIT105","Programming in C","Programming","3","0","0","3","3","1","true",""
"C002","CSE","GMIT","1","A","EIT","1BESC104E","Essentials of Information Technology","General","3","0","0","3","3","1","true",""
"C003","CSE","GMIT","1","A","IDT","1BIDTL158","Innovation and Design Thinking Lab(Project-based learning)","General","0","0","2","2","2","1","false",""
"C004","CSE","GMIT","3","A","MATHS","1BCS301","Probability, Distributions and Statistics","Mathematics","3","0","0","3","3","1","true",""
"C005","CSE","GMIT","3","A","OOPS","1BCS302","Object Oriented Programming with Java","Programming","3","0","0","3","3","1","true",""
"C006","CSE","GMIT","3","A","DDCO","1BCS303","Digital Design and Computer Organization","General","3","0","0","3","3","1","true",""
"C007","CSE","GMIT","3","A","OS","1BCS304","Operating Systems","Systems","3","0","0","3","3","1","true",""
"C008","CSE","GMIT","3","A","DSA","1BCS305","Data Structures and Applications","Programming","3","0","0","3","3","1","true",""
"C009","CSE","GMIT","3","A","DSAL","1BCSL306","Data Structures Laboratory","Programming","0","0","2","2","2","1","false",""
"C010","CSE","GMIT","3","A","MATHSL","1BMATDIP310","Mathematics course for Lateral Entry Student","Mathematics","3","0","0","3","3","1","true",""
"C011","CSE","GMIT","3","B","MATHS","1BCS301","Probability, Distributions and Statistics","Mathematics","3","0","0","3","3","1","true",""
"C012","CSE","GMIT","3","B","OOPS","1BCS302","Object Oriented Programming with Java","Programming","3","0","0","3","3","1","true",""
"C013","CSE","GMIT","3","B","DDCO","1BCS303","Digital Design and Computer Organization","General","3","0","0","3","3","1","true",""
"C014","CSE","GMIT","3","B","OS","1BCS304","Operating Systems","Systems","3","0","0","3","3","1","true",""
"C015","CSE","GMIT","3","B","DSA","1BCS305","Data Structures and Applications","Programming","3","0","0","3","3","1","true",""
"C016","CSE","GMIT","3","B","PBL","1BCP308","Community Project (Project-Based Learning) / Societal Project","General","0","0","2","2","2","1","false",""
