"preference_id","faculty_id","course_key","preference_rank","teaching_intent","created_at","updated_at"
"P17835959987381481","F002","CSE|GMU|1|UE26CS1103","1","XXXX","2026-07-09 11:19:58.848426+00","2026-07-09 11:19:58.848426+00"
"P17835960584615996","F002","CSE|GMIT|3|1BCS305","2","ZZZZZZZ","2026-07-09 11:20:58.572365+00","2026-07-09 11:20:58.572365+00"
"P17836017732348782","F020","CSE|GMU|1|UE26CS1103","1","As I already worked in Industry in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 12:56:13.340092+00","2026-07-09 12:56:13.340092+00"
"P17836019592481540","F020","CSE|GMU|1|UG26AI1101","2","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 12:59:19.354637+00","2026-07-09 12:59:19.354637+00"
"P17836020019778669","F020","CSE|GMU|5|UE24CS3501","3","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 13:00:02.083826+00","2026-07-09 13:00:02.083826+00"
"P17836021059714526","F020","CSE|GMU|5|UE24CS3504","4","As I have Industry experience in AWS and Azure. So i have good practical knowledge which i can share with the students.","2026-07-09 13:01:46.07795+00","2026-07-09 13:01:46.07795+00"
"P17836022048768121","F020","CSE|GMIT|3|1BCS305","5","As I have Industry experience in this subject. So i have good practical knowledge which i can share with the students.","2026-07-09 13:03:24.981709+00","2026-07-09 13:03:24.981709+00"
"P17836026754939102","F020","CSE|GMU|3|UE25CS2303","6","As I have Industry experience in Opps concept in C++ and Python. So i have good practical knowledge which i can share with the students.","2026-07-09 13:11:15.601293+00","2026-07-09 13:11:15.601293+00"
"P17836043024066464","F026","CSE|GMU|3|UE25CS2301","1","I prefer to teach this course as I have previously taught Algorithm Design and Complexity Analysis at GMIT. This prior experience has given me a strong understanding of the subject, enabling me to deliver the course effectively through practical examples, problem-solving, and student-centered learning.","2026-07-09 13:38:22.511442+00","2026-07-09 13:38:22.511442+00"
"P17836044531233992","F026","CSE|GMU|3|UE25CS2303","2","I have a strong foundation in Object Oriented Programming and am confident in teaching the course effectively. I focus on concept-based learning, live coding, practical implementation, and continuous practice to help students develop robust programming skills.","2026-07-09 13:40:53.226348+00","2026-07-09 13:40:53.226348+00"
"P17836048991855625","F026","CSE|GMU|5|UE24CS3501","3","Deep Learning is my area of Master's specialization, which provides me with strong subject knowledge and current insights. I can effectively deliver the course by combining theory with practical applications, case studies, and hands-on exercises.","2026-07-09 13:48:19.302441+00","2026-07-09 13:48:19.302441+00"
